"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"72306013722","2024-03-04T22:51:00","35.89227","-78.78194","120.5","RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US","FM-15","7","30.10","52","59","0.00","","","","78","OVC:08 15","30.09","29.63","10.00","55","020","17","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09603/04/24 22:51:02 METAR KRDU 050351Z 02009G15KT 10SM OVC015 15/11 A3010 RMK AO2 SLP189 T01500111","","","","","","","","","","2009-07-08"
"72306013722","2024-03-04T23:08:00","35.89227","-78.78194","120.5","RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US","FM-16","7","30.09","52","59","","","","","78","FEW:02 7 BKN:07 13 BKN:07 26","","29.62","10.00","55","010","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET10003/04/24 23:08:02 SPECI KRDU 050408Z 01007KT 10SM FEW007 BKN013 BKN026 15/11 A3009 RMK AO2 T01500111","","","","","","","","","","2009-07-08"
"72306013722","2024-03-04T23:51:00","35.89227","-78.78194","120.5","RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US","FM-15","7","30.09","53","58","T","","","","84","SCT:04 8 BKN:07 12 OVC:08 30","30.08","29.62","10.00","55","VRB","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET13203/04/24 23:51:02 METAR KRDU 050451Z 36007KT 10SM SCT008 BKN012 OVC030 14/12 A3009 RMK AO2 DZB20E43 SLP185 P0000 T01440117 402220094","","","","","","","","","","2009-07-08"
"72306013722","2024-03-04T23:59:00","35.89227","-78.78194","120.5","RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US","SOD  ","6","","","","","","","","","","","","","","","","","0640","1814","51","61","73","30.16","29.70","55","6.6","0","12.7","4","72","49","040","25","0.00","0","0.0","040","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD75324 HR PRECIPITATION (IN):    T SNOW DEPTH (IN):0     24 HR SNOWFALL (IN):0.0  WEATHER(CODE):1  24 HR MAX TEMP (F): 7224 HR MIN TEMP (F): 49AVERAGE STATION PRESSURE:29.700 MINIMUM SEA LEVEL PRESSURE:30.08 TIME OF OCCURRENCE:2359 PEAK WIND SPEED (MPH): 25 PEAK WIND DIR (DEG): 40 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 16FASTEST 2MIN DIR (DEG): 40 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 6.6 24 HR AVG TEMP (F): 61DEPART FROM NORMAL: 12  HEATING DEGREE DAYS:  4 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):72  LATEST NIGHT MIN TEMP(1900-0800 LST):49 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 T","","","","","","","","","","2009-07-08"
"72306013722","2024-03-05T00:28:00","35.89227","-78.78194","120.5","RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US","FM-16","7","30.09","53","57","T","-DZ:01 |DZ |DZ","","","87","BKN:07 8 OVC:08 13","","29.62","10.00","55","360","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET12303/05/24 00:28:02 SPECI KRDU 050528Z 36004KT 10SM -DZ BKN008 OVC013 14/12 A3009 RMK AO2 RAB02E28DZB28 P0000 T01390117 (AWB)","","","","","","","","","","2009-07-08"
"72306013722","2024-03-05T00:51:00","35.89227","-78.78194","120.5","RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US","FM-15","7","30.09","53","57","T","-DZ:01 |DZ |DZ","+0.02","5","87","BKN:07 6 OVC:08 11","30.08","29.62","10.00","55","340","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET15403/05/24 00:51:02 METAR KRDU 050551Z 34005KT 10SM -DZ BKN006 OVC011 14/12 A3009 RMK AO2 RAB02E28DZB28 SLP186 P0000 60000 T01390117 10161 20139 55007 (AWB)","","","","","","","","","","2009-07-08"
"72306013722","2024-03-05T01:00:00","35.89227","-78.78194","120.5","RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US","FM-12","4","","53","57","","||DZ","+0.02","5","87","5","30.08","29.63","9.94","55","340","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN09272306 11266 83405 10139 20117 30033 40186 55007 69901 751// 90551 333 10161 20094 555 90506=","","","","","","","","","","2009-07-08"
"72306013722","2024-03-05T01:51:00","35.89227","-78.78194","120.5","RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US","FM-15","7","30.09","53","56","0.01","-RA:02 BR:1 |RA |RA","","","90","BKN:07 6 OVC:08 11","30.09","29.62","3.00","54","VRB","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET12903/05/24 01:51:02 METAR KRDU 050651Z VRB03KT 3SM -RA BR BKN006 OVC011 13/12 A3009 RMK AO2 DZE08RAB08 SLP188 P0000 T01330117 (AWB)","","","","","","","","","","2009-07-08"
"72306013722","2024-03-05T02:05:00","35.89227","-78.78194","120.5","RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US","FM-16","7","30.09","53","56","0.01","-RA:02 BR:1 |RA |RA","","","90","FEW:02 3 BKN:07 6 OVC:08 12","","29.62","2.00","54","290","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET11803/05/24 02:05:02 SPECI KRDU 050705Z 29005KT 2SM -RA BR FEW003 BKN006 OVC012 13/12 A3009 RMK AO2 P0001 T01330117 (AWB)","","","","","","","","","","2009-07-08"
"72306013722","2024-03-05T02:51:00","35.89227","-78.78194","120.5","RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US","FM-15","7","30.09","53","56","0.02","-RA:02 BR:1 |RA |RA","","","90","BKN:07 4 OVC:08 16","30.08","29.62","3.00","54","VRB","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET11803/05/24 02:51:02 METAR KRDU 050751Z VRB04KT 3SM -RA BR BKN004 OVC016 13/12 A3009 RMK AO2 SLP187 P0003 T01330117 (AWB)","","","","","","","","","","2009-07-08"
